State,Year,population,crime,foreign
"Alabama""",1960,3266740,186.6,457.7958454
Alaska,1960,226167,104.3,3637.577542
Arizona,1960,1302161,207.7,5400.100295
Arkansas,1960,1786272,107.7,417.4616184
California,1960,15717204,239,8549.217787
Colorado,1960,1753947,137.3,3414.071235
Connecticut,1960,2535234,36.6,10867.75422
Delaware,1960,446292,84,3282.604214
Florida,1960,4951560,223.4,5496.469799
Georgia,1960,3943116,158.8,641.6245426
Hawaii,1960,632772,21.8,10888.5981
Idaho,1960,667191,38.2,2329.467874
Illinois,1960,10081158,365.1,6805.745927
Indiana,1960,4662498,84.6,1998.971367
Iowa,1960,2757537,23.8,2040.879234
Kansas,1960,2178611,58.4,1527.028001
Kentucky,1960,3038156,97.3,553.9544382
Louisiana,1960,3257022,153.2,938.1883205
Maine,1960,969265,29.8,6231.835463
Maryland,1960,3100689,151.3,3037.32493
Massachusetts,1960,5148578,48.8,11196.33421
Michigan,1960,7823194,217.7,6769.920316
Minnesota,1960,3413864,42,4214.520555
Mississippi,1960,2178141,102.7,369.948502
Missouri,1960,4319813,172.9,1799.985323
Montana,1960,674767,67.1,4541.715881
Nebraska,1960,1411330,41.8,2851.069559
Nevada,1960,285278,145.8,4603.579666
New Hampshire,1960,606921,13.3,7376.907373
New Jersey,1960,6066782,114.3,10145.06537
New Mexico,1960,951023,143,2251.049659
North Carolina,1960,4556155,223.5,482.3804282
North Dakota,1960,632446,14.2,4728.783169
Ohio,1960,9706397,83.7,4086.109398
Oklahoma,1960,2328284,97,859.1305872
Oregon,1960,1768687,69.7,4032.03054
Pennsylvania,1960,11319366,99,5331.482346
Rhode Island,1960,859488,36.8,10002.93198
South Carolina,1960,2382594,143.7,467.5576284
South Dakota,1960,680514,41.4,2729.848321
Tennessee,1960,3567089,91.1,444.1436701
Texas,1960,9579677,161,3119.009127
Utah,1960,890627,54.3,3607.907688
Vermont,1960,389881,9.5,5985.416063
Virginia,1960,3966949,183.7,1214.661444
Washington,1960,2853214,56.6,6261.640382
West Virginia,1960,1860421,64.5,1282.666665
Wisconsin,1960,3951777,31.9,4340.300579
Wyoming,1960,330066,109.7,2927.596299
"Alabama""",1970,3444165,295.7,464.2054025
Alaska,1970,302173,278,2569.058122
Arizona,1970,1772482,370.3,4319.931035
Arkansas,1970,1923295,222.3,430.8751388
California,1970,19953134,474.8,8810.595869
Colorado,1970,2207259,356.7,2732.393435
Connecticut,1970,3032217,170.4,8627.812587
Delaware,1970,548104,327.5,2854.932641
Florida,1970,6789443,498.2,7957.707282
Georgia,1970,4589575,304.5,718.7593623
Hawaii,1970,769913,121.8,9818.641847
Idaho,1970,713008,123.3,1763.234073
Illinois,1970,11113976,467.9,5658.622981
Indiana,1970,5193669,234.6,1601.911866
Iowa,1970,2825041,79.3,1423.589959
Kansas,1970,2249071,202.8,1237.933351
Kentucky,1970,3219311,222.3,514.1783444
Louisiana,1970,3643180,413.5,1085.370473
Maine,1970,993663,89.3,4328.831807
Maryland,1970,3922399,624.9,3170.126242
Massachusetts,1970,5689170,202.9,8694.765669
Michigan,1970,8875083,575.7,4780.901767
Minnesota,1970,3805069,152,2576.983492
Mississippi,1970,2216912,179.3,366.5007903
Missouri,1970,4677399,405.9,1405.567496
Montana,1970,694409,111.5,2827.440313
Nebraska,1970,1483791,184.1,1940.704587
Nevada,1970,488738,398.6,3719.579816
New Hampshire,1970,737681,56,5022.225054
New Jersey,1970,7168164,287.1,8856.07528
New Mexico,1970,1016000,304.4,2215.551181
New York,1970,18190740,685,11598.07682
North Carolina,1970,5082059,370.2,563.1575706
North Dakota,1970,617761,34.2,2984.487528
Ohio,1970,10652017,284.3,2971.230707
Oklahoma,1970,2559253,202.9,787.7298571
Oregon,1970,2091385,256.9,3162.927916
Pennsylvania,1970,11793909,220.2,3780.722744
Rhode Island,1970,949723,204.7,7831.125497
South Carolina,1970,2590516,286.1,554.4841259
South Dakota,1970,666257,92.5,1635.855233
