date﻿,unemployment rate,avg_unem,fed_funds,CPI,Oil_Price
6-Apr,4.7,4.923076923,4.79,2.67529,69.44
6-May,4.6,4.876923077,4.94,2.778406,70.84
6-Jun,4.6,4.838461538,4.99,3.029285,70.95
6-Jul,4.7,4.815384615,5.24,3.089187,74.41
6-Aug,4.7,4.792307692,5.25,3.219901,73.04
6-Sep,4.5,4.761538462,5.25,3.207054,63.8
6-Oct,4.4,4.715384615,5.25,3.285968,58.89
6-Nov,4.5,4.676923077,5.25,3.141252,59.08
6-Dec,4.4,4.630769231,5.24,3.1159,61.96
7-Jan,4.6,4.607692308,5.25,3.136734,54.51
7-Feb,4.5,4.592307692,5.26,3.152428,59.28
7-Mar,4.4,4.561538462,5.26,3.099888,60.44
7-Apr,4.5,4.546153846,5.25,2.957465,63.98
7-May,4.4,4.523076923,5.25,2.774199,63.46
7-Jun,4.6,4.523076923,5.25,2.621714,67.49
7-Jul,4.7,4.530769231,5.26,2.525322,74.12
7-Aug,4.6,4.523076923,5.02,2.459164,72.36
7-Sep,4.7,4.523076923,4.94,2.475003,79.92
7-Oct,4.7,4.538461538,4.76,2.494632,85.8
7-Nov,4.7,4.561538462,4.49,2.64947,94.77
7-Dec,5,4.6,4.24,2.712396,91.69
8-Jan,5,4.646153846,3.94,2.747695,92.97
8-Feb,4.9,4.669230769,2.98,2.617738,95.39
8-Mar,5.1,4.715384615,2.61,2.688949,105.45
8-Apr,5,4.761538462,2.28,2.725505,112.58
8-May,5.4,4.830769231,1.98,2.793043,125.4
8-Jun,5.6,4.923076923,2.00,2.933931,133.88
8-Jul,5.8,5.015384615,2.01,3.010504,133.37
8-Aug,6.1,5.123076923,2.00,3.080765,116.67
8-Sep,6.1,5.238461538,1.81,3.071629,104.11
8-Oct,6.5,5.376923077,0.97,2.922213,76.61
8-Nov,6.8,5.538461538,0.39,2.777101,57.31
8-Dec,7.3,5.738461538,0.16,2.614507,41.12
9-Jan,7.8,5.953846154,0.15,2.535975,41.71
9-Feb,8.3,6.207692308,0.22,2.54257,39.09
9-Mar,8.7,6.5,0.18,2.437701,47.94
9-Apr,9,6.8,0.15,2.359914,49.65
9-May,9.4,7.138461538,0.18,2.273815,59.03
9-Jun,9.5,7.453846154,0.21,2.078064,69.64
9-Jul,9.5,7.753846154,0.16,1.910212,64.15
9-Aug,9.6,8.046153846,0.16,1.757047,71.05
9-Sep,9.8,8.330769231,0.15,1.602846,69.41
9-Oct,10,8.630769231,0.12,1.509202,75.72
9-Nov,9.9,8.892307692,0.12,1.361569,77.99
