Name,wind Speed mph/ (kph),,
Arthur,60 (95),,
Bertha,50 (85),,
Cristobal,60 (95),,
Dolly,45 (75),,
Edouard,45 (75),,
Fay,60 (95),,
Gonzalo,65 (100),,
Hanna,90 (150),,
Isaias,90 (150),,
Ten,35 (55),,
Josephine,45 (75),,
Kyle,50 (85),,
Laura,150 (240),,
Marco,75 (120),,
Omar,40 (65),,
Nana,75 (120),,
Paulette,105 (165),,
Rene,45 (75),,
Sally,110 (175),,
Teddy,140 (220),,
Vicky,50 (85),,
Alpha,50 (85),,
Beta,65 (100),,
Wilfred,40 (65),,
Gamma,75 (120),,
Delta,140 (220),,
Epsilon,115 (185),,
Zeta,115 (185),,
Eta,150 (240),,
Theta,70 (110),,
Iota,155 (250),,
Ana,45 (75),,
Bill,65 (100),,
Claudette,45 (75),,
Danny,45 (75),,
Elsa,85 (140),,
Fred,65 (100),,
Grace,120 (195),,
Henri,75 (120),,
Ida,150 (240),,
Kate,45 (75),,
Julian,60 (95),,
Larry,125 (205),,
Mindy,60 (95),,
Nicholas,75 (120),,
Odette,45 (75),,
Peter,50 (85),,
Rose,60 (95),,
Sam,155 (250),,
Teresa,45 (75),,
Victor,65 (100),,
Wanda,60 (95),,
Alex,70 (110),,
Bonnie,60 (95),,
Colin,40 (65),,
Danielle,85 (140),,
Earl,110 (175),,
Fiona,140 (220),,
Gaston,65 (100),,
Ian,160 (260),,
Hermine,40 (65),,
Eleven,35 (55),,
Twelve,35 (55),,
Julia,85 (140),,
Karl,60 (95),,
Lisa,90 (150),,
Martin,85 (140),,
Nicole,75 (120),,
Unnamed,70 (110),,
Arlene,40 (65),,
Bret,70 (110),,
Cindy,60 (95),,
Don,75 (120),,
Gert,60 (95),,
Emily,50 (85),,
Franklin,150 (240),,
Harold,60 (95),,
Idalia,130 (215),,
Jose,65 (100),,
Katia,60 (95),,
Lee,165 (270),,
Margot,90 (150),,
Nigel,100 (155),,
Ophelia,70 (110),,
Philippe,60 (95),,
Rina,50 (85),,
Sean,45 (75),,
Tammy,110 (175),,
Twenty-One,30 (45),,
Alberto,50 (85),,
Beryl,165 (270),,
Chris,45 (75),,
Debby,80 (130),,
Ernesto,100 (155),,
Francine,100 (155),,
Gordon,45 (75),,
Helene,140 (220),,
Isaac,105 (165),,
Joyce,50 (85),,
Kirk,85 (140),,

